0:00:23.244508,0:00:44.799549,0:01:05.272602,0:01:24.594895,0:01:44.835146,0:02:04.153492,0:02:24.201319,0:02:43.655153,0:03:03.247005,0:03:23.035976,0:03:42.421482,0:04:02.663535,0:04:22.187879,0:04:43.290053,0:05:02.822854,0:05:23.188538,0:05:42.544497,0:06:02.877777,0:06:22.181623,0:06:42.382024,0:07:01.616651,0:07:21.810080,0:07:41.232405,0:08:01.689525,0:08:21.093153,0:08:42.269824,0:09:01.635614,0:09:21.724516,0:09:41.294755,0:10:01.062115,0:10:20.872297,0:10:40.223901,0:11:00.538086,0:11:19.696341,0:11:39.963470,0:11:59.238311,0:12:19.423543,0:12:39.964490,0:12:59.966287,0:13:19.562385,0:13:39.224111,0:13:58.831561,0:14:18.259098,0:14:38.180149,0:14:57.456996,0:15:17.512824,0:15:36.833868,0:15:57.078345,0:16:16.414282,0:16:37.702576
-1162.6238394031216,-1381.5288893679244,-1535.1086290575508,-1729.1224178891582,-1624.1376812963426,-1432.8235724594379,-1468.465508568886,-1443.1139099052214,-1183.4178495910194,-1381.9335812601728,-1441.565293741479,-1567.5175740607187,-1456.0390354531837,-1614.8532341122448,-1516.7000278167302,-989.7214687042939,-1433.6936041147558,-1504.6180093130695,-131.05069601320807,-651.6509027656647,-1.763592968178648,-241.68172383826035,-420.52603436928126,-259.5233947034757,-255.23557850964738,-128.62951603964493,-381.67543605765053,-364.620400171815,-238.945067983696,-120.14377824169442,-123.02545885031336,-118.94898467229626,-1.7746282442144652,-248.34610546419026,-119.86618058223304,-119.6466875734357,-236.21192769687255,-358.2049325336391,-119.62630261069124,-126.95746376071024,-1.5468700412382095,-255.47884901448694,-220.00328828392117,-126.82536750218391,-124.26983727061774,-129.9327011149766,-248.47427065545276,-356.3695129081898,-240.2346905568665,-120.689629645339
0:00:19.290893,0:00:39.163505,0:00:58.798484,0:01:18.482208,0:01:38.541303,0:01:57.908483,0:02:17.996146,0:02:37.311833,0:02:57.530719,0:03:16.722739,0:03:37.098459,0:03:56.492386,0:04:17.917626,0:04:37.276363,0:04:57.114521,0:05:16.677041,0:05:36.287136,0:05:56.096259,0:06:15.356663,0:06:35.482227,0:06:54.708346,0:07:14.867198,0:07:34.146840,0:07:54.173725,0:08:14.259435,0:08:34.481016,0:08:53.510186,0:09:13.566978,0:09:33.253360,0:09:53.396854,0:10:13.656029,0:10:34.660874,0:10:55.286770,0:11:17.537150,0:11:38.785572,0:12:00.937100,0:12:24.716549,0:12:45.886121,0:13:08.049396,0:13:28.749836,0:13:50.103182,0:14:10.788737,0:14:31.172007,0:14:51.244910,0:15:11.658626,0:15:31.533636,0:15:52.496955,0:16:12.578834,0:16:33.813766,0:16:55.372594
-1445.615991569376,-1094.954440726334,-1404.0998682649647,-1772.464535419584,-1722.7016174611053,-1631.3260390755659,-1395.4296771131374,-1228.3725173907196,-1200.6582699450214,-1089.6164471705802,-1396.2666935849616,-833.6141954043098,-1048.8593738390457,-530.4305608215155,-133.57160109597396,-131.78078874475804,-243.31414911697735,-254.86403079116587,-243.96821520131832,-402.9773366750322,-235.1999866511707,-237.56455050426243,-0.807955484408641,-124.53395713113875,-124.30746460840712,-1.0726226862043884,-126.52513320443235,-125.59007864425172,-122.64567545536029,-2.811701435202863,-378.0208230993017,-490.52404238255673,-118.92706727810754,-124.18558809064884,-249.0762251306499,-122.26838205109875,-121.2884765081568,-118.26745742963469,-118.83755401566239,-122.30626124171057,-245.86912836292214,-243.83936891080833,-239.19205111432393,-119.89834074318556,-380.46167662026653,-303.21844119297583,-470.0576018978339,-495.404033563477,-694.0261601554616,-565.606396986335
0:00:19.979790,0:00:40.673615,0:01:01.103298,0:01:22.762800,0:01:43.113056,0:02:04.302875,0:02:24.684262,0:02:45.896092,0:03:06.055214,0:03:27.203470,0:03:48.544451,0:04:09.686038,0:04:29.919626,0:04:51.276007,0:05:11.868873,0:05:32.684523,0:05:53.396741,0:06:14.075919,0:06:34.896192,0:06:55.689392,0:07:16.724302,0:07:37.211584,0:07:59.483034,0:08:19.598867,0:08:40.768606,0:09:00.990518,0:09:22.157768,0:09:42.496844,0:10:03.606014,0:10:23.805154,0:10:45.120922,0:11:05.296197,0:11:26.507661,0:11:47.155057,0:12:09.217159,0:12:29.855906,0:12:50.885089,0:13:12.596418,0:13:33.134488,0:13:53.481128,0:14:13.329664,0:14:34.519383,0:14:54.171951,0:15:14.128181,0:15:33.763861,0:15:53.761177,0:16:13.654103,0:16:34.478959,0:16:54.809695,0:17:14.533398
-1149.155747138335,-910.0393630826368,-1596.6791390429564,-1468.8183690721607,-1601.400664975499,-1494.534464330621,-1303.217746765665,-1151.3835437583,-1116.1043831911684,-1057.8592764264388,-937.0163882404429,-787.5804909110262,-638.4665604823504,-258.4322700722987,-271.49481280852655,-650.3519678003008,-637.2724684593608,-3.751878677002748,-264.6249972652899,-249.63401325453407,-256.8275761716255,-0.8691134639939456,-244.4397154508625,-234.64536449586444,-125.5978032721838,-126.03733929381512,-0.6890617994654029,-123.56860884758746,-116.3808330924415,-247.86951607036403,-245.88781106934218,-128.70285179755598,-129.58516429127513,-355.4144028112135,-118.3495338178651,-126.06811736463035,-234.7279364466581,-124.49581148440079,-240.92067929921706,-120.12266154510705,-2.8107933778163248,-128.48631850630304,-354.9983085860903,-120.7393180164152,-8.630566987787088,-245.39923095412422,-131.95127812757298,-243.87551479987428,-239.85466364066508,-369.80243565001797
0:00:20.502839,0:00:40.587883,0:01:02.546636,0:01:22.896919,0:01:43.273039,0:02:04.573669,0:02:24.926802,0:02:46.009023,0:03:06.362810,0:03:28.672118,0:03:48.791157,0:04:09.949505,0:04:30.416931,0:04:51.628646,0:05:11.799635,0:05:33.150184,0:05:53.492905,0:06:14.608562,0:06:35.058584,0:06:56.011023,0:07:16.696075,0:07:37.578643,0:07:59.451397,0:08:20.365126,0:08:41.250567,0:09:01.928435,0:09:22.865164,0:09:43.339734,0:10:04.506280,0:10:24.508059,0:10:45.795246,0:11:06.157166,0:11:27.205966,0:11:47.400139,0:12:09.715398,0:12:29.967448,0:12:51.128609,0:13:11.303744,0:13:32.495304,0:13:52.787757,0:14:14.129163,0:14:35.172664,0:14:56.533940,0:15:17.337545,0:15:37.069596,0:15:56.956078,0:16:16.978343,0:16:36.833473,0:16:56.677965,0:17:16.135632
-954.8802368912013,-1204.2390155778432,-1239.370347952996,-1047.0457457459624,-1673.03188860597,-1777.5755513274278,-1534.1266162306556,-1491.8372591686657,-1503.2335844434049,-1484.27703375412,-1514.983468070835,-1071.504402027148,-1530.1261505286313,-1496.0188020050903,-1114.6723594739105,-516.1731840011225,-534.8129830737095,-260.53327740573553,-128.7019848425701,-303.08263488865407,-2.2507734038261424,-423.00827718931345,-240.2975095397759,-124.34201696871855,-127.37566067440015,-130.0700637339713,-128.6606140444565,-124.05984691292876,-126.04796563940654,-244.47141073387894,-1.9745619286062515,-239.74480468952785,-116.8669368947429,-229.02698961773845,-243.11460367306157,-126.73352759211562,-117.5403768479379,-115.3403205636812,-122.21576863101862,-127.23401231917623,-121.36031923537442,-975.6829091243955,-778.7337042985081,-126.99309994190686,-3.3627834737757176,-240.37256923480754,-122.09369476014896,-118.92660463594477,-342.6678056890526,-118.97932272833052
0:00:20.428368,0:00:40.921942,0:01:01.388869,0:01:23.655019,0:01:44.117874,0:02:05.122134,0:02:25.433434,0:02:46.632344,0:03:06.955666,0:03:28.464048,0:03:49.118789,0:04:10.447437,0:04:30.878522,0:04:52.002511,0:05:12.284305,0:05:33.413637,0:05:53.731355,0:06:14.581776,0:06:35.146690,0:06:55.909166,0:07:16.534081,0:07:37.258128,0:07:59.344205,0:08:19.698650,0:08:40.829037,0:09:01.049614,0:09:22.414165,0:09:42.649455,0:10:03.796197,0:10:23.937417,0:10:45.066568,0:11:05.346273,0:11:26.519262,0:11:46.749302,0:12:07.816810,0:12:29.380241,0:12:50.518301,0:13:10.853112,0:13:32.076255,0:13:52.702063,0:14:12.608924,0:14:32.140369,0:14:52.473983,0:15:13.935141,0:15:35.451217,0:15:55.470945,0:16:15.080620,0:16:35.212303,0:16:55.870025,0:17:15.462410
-843.1342182523101,-1693.57205259657,-1157.9822403894652,-1565.1740265399994,-1141.56774372244,-1568.8460835865596,-1418.6292612272132,-1505.3477445872109,-1491.755888333941,-1064.592815807134,-1285.5588904625533,-1010.5543614214059,-646.9289728673168,-610.0226883234898,-634.6905047795758,-634.4747919398286,-643.0927186119783,-384.83756792850727,-378.1790339478863,-256.16021266367557,-118.58124746390585,-128.95040285872747,-126.81024061971318,-125.80677985325245,-127.39272913017405,-118.60730831647481,-240.93033983624545,-312.04018738986696,-258.27615558626195,-356.37311950888653,-2.120134986895865,-132.23776704437984,-118.36621087613325,-261.60865669863915,-129.1302020092336,-128.14006294755225,-129.54533330509543,-623.7560637399794,-376.77089751791823,-496.1250064655154,-246.7270407997705,-126.14000586398215,-242.9730264978552,-128.66459622591648,-396.64006228440576,-130.6157110637714,-258.7076992901501,-251.035935165538,-326.36473908858085,-115.99181012365264
0:00:20.083215,0:00:39.594848,0:00:59.893506,0:01:19.194032,0:01:39.285152,0:01:58.813109,0:02:19.381232,0:02:38.796350,0:02:59.179058,0:03:18.645153,0:03:39.228937,0:04:00.082667,0:04:21.072931,0:04:41.048686,0:05:01.829860,0:05:21.608192,0:05:42.493757,0:06:02.477270,0:06:23.054261,0:06:42.937749,0:07:03.725330,0:07:23.591905,0:07:44.532857,0:08:05.720930,0:08:26.134193,0:08:46.301974,0:09:06.750206,0:09:26.862306,0:09:47.098365,0:10:07.422148,0:10:27.803703,0:10:47.977232,0:11:08.312084,0:11:28.678138,0:11:48.931319,0:12:09.300630,0:12:30.651799,0:12:50.754129,0:13:11.624973,0:13:31.612154,0:13:52.556393,0:14:12.772211,0:14:33.434157,0:14:53.933088,0:15:14.287104,0:15:35.012576,0:15:55.248195,0:16:15.676815,0:16:36.043597,0:16:57.931516
