0:00:19.488233,0:00:40.052700,0:01:01.256293,0:01:21.029817,0:01:40.518451,0:01:59.369070,0:02:20.394531,0:02:39.488460,0:02:59.738043,0:03:18.860014,0:03:39.855530,0:03:59.759113,0:04:18.752417,0:04:38.902485,0:04:58.341247,0:05:17.991156,0:05:37.597704,0:05:56.641559,0:06:18.206707,0:06:37.203896,0:06:56.744154,0:07:16.491599,0:07:35.378204,0:07:55.238110,0:08:14.071480,0:08:33.730552,0:08:54.354169,0:09:13.344906,0:09:33.204659,0:09:52.992738,0:10:11.984565,0:10:32.313972,0:10:51.383462,0:11:13.372374,0:11:32.533738,0:11:52.203988,0:12:11.878873,0:12:30.732313,0:12:50.914021,0:13:09.818638,0:13:29.616090,0:13:50.888927,0:14:09.866623,0:14:30.190298,0:14:49.258872,0:15:09.160635,0:15:28.696463,0:15:48.093821,0:16:08.205287,0:16:28.749766
-1435.0194329830042,-1416.863833921737,-1904.422529032479,-1780.965430891722,-1359.1269841200362,-1427.6323558844497,-1512.9116121346954,-1565.3172038516623,-1244.5639145971084,-1267.255054684616,-1014.7834687601969,-1144.6854776906998,-928.5286445535122,-1139.8812706939098,-1574.0132145253078,-1562.1152337449023,-1238.3087717395385,-639.3253795472467,-631.8341031457122,-517.7582872992206,-492.75498077978335,-122.0299683948873,-384.55075785729963,-761.2063202755209,-246.96501046161384,-620.8812581425067,-123.09486824960167,-255.3133297834684,-124.47204429880813,-525.5076408860781,-126.02608996112536,-243.20043280910696,-313.15427211827773,-127.05110234073949,-315.9597296620057,-130.80925090619894,-125.4140802457475,-127.94670392178595,-132.76499923153264,-122.39414187333742,-128.3976513348139,-254.63889288555004,-129.10036513964852,-132.7503939377375,-255.81119583643644,-282.85267727661846,-132.1300483534359,-237.27320408225128,-129.13759186001676,-130.16680704825686
0:00:19.884304,0:00:39.371511,0:00:58.683959,0:01:19.000151,0:01:38.282606,0:01:58.679384,0:02:18.052376,0:02:39.116921,0:02:59.609279,0:03:18.976217,0:03:39.532921,0:03:59.166774,0:04:19.446208,0:04:39.449523,0:04:59.873157,0:05:20.898802,0:05:39.980359,0:06:00.133454,0:06:19.327779,0:06:39.154477,0:06:58.666464,0:07:17.694889,0:07:38.871242,0:07:57.945290,0:08:17.826758,0:08:37.525291,0:08:56.863759,0:09:16.948772,0:09:35.862548,0:09:56.102349,0:10:16.237400,0:10:36.464470,0:10:55.700892,0:11:14.496566,0:11:34.465993,0:11:53.321664,0:12:12.860847,0:12:32.565784,0:12:52.118629,0:13:13.278520,0:13:32.233262,0:13:52.470751,0:14:11.395294,0:14:30.189664,0:14:50.275145,0:15:09.503791,0:15:29.449219,0:15:49.474719,0:16:09.092964,0:16:29.059818
-1719.7776849543131,-1167.5738040445758,-1800.7958288836876,-1692.3933541640436,-1345.8902427488665,-1508.651077639452,-1421.638133381306,-1502.5865187695836,-1175.624612429167,-1235.30376449714,-905.2919944466261,-886.5057172714087,-773.8805495901217,-775.9962002856715,-638.8840264380812,-640.8913372089601,-1.5598728002264695,-123.46152072397226,-521.7255056913526,-132.0453570261292,-247.54338577322568,-127.00958506637583,-127.97523362825848,-125.93022133265148,-128.1383548491752,-120.1112101127377,-120.86598174927131,-115.45772682804309,-234.94239344828702,-242.6294851521543,-121.42363071584417,-258.15764210764337,-366.36764442159523,-131.18144213735027,-1.9686300109613744,-244.76122560079654,-381.22517085523356,-118.20213038599593,-117.52899663638347,-116.81745358391758,-123.66285682108017,-128.53517385842454,-122.75543042819201,-241.81987536938874,-120.9209477142423,-115.91643295272479,-241.377812026376,-240.35392530630907,-122.60055524824527,-396.10303750893036
0:00:19.031729,0:00:39.189782,0:00:58.127109,0:01:17.732484,0:01:37.251215,0:01:57.651634,0:02:17.696748,0:02:36.619683,0:02:56.678735,0:03:15.733442,0:03:34.813587,0:03:55.100269,0:04:14.168473,0:04:35.571961,0:04:54.638572,0:05:14.321552,0:05:33.825981,0:05:52.902819,0:06:13.247544,0:06:32.299596,0:06:52.050301,0:07:12.382139,0:07:31.683584,0:07:51.498360,0:08:10.806389,0:08:30.811700,0:08:49.624423,0:09:08.738756,0:09:28.574636,0:09:48.742798,0:10:08.604001,0:10:27.774718,0:10:47.937640,0:11:06.906951,0:11:25.883930,0:11:45.979187,0:12:05.305397,0:12:26.352547,0:12:45.331832,0:13:04.434847,0:13:24.573172,0:13:43.737804,0:14:03.724456,0:14:23.069946,0:14:42.479761,0:15:03.320529,0:15:22.707067,0:15:42.845825,0:16:01.986183,0:16:21.944827
-1290.0805035340195,-1764.20833476778,-1700.9133090376847,-1753.5482494699395,-1589.4921362327668,-1461.320864662193,-1618.3438632163086,-1063.6143959283831,-1064.3012726030986,-1210.5318335573174,-1088.045111158009,-1251.9000159535003,-1185.4474966692553,-943.6728458136341,-902.433827424384,-518.1847670102256,-136.07540492890067,-295.2010691661881,-551.2193504017679,-263.6080407491764,-253.38867519742809,-455.3530641219624,-9.227430337194594,-262.8677002696586,-126.00552304775749,-246.5477495362527,-121.95856829943548,-235.16414179109648,-358.89663376806004,-131.86182833729367,-137.2148672093364,-123.4875478165553,-120.62974256131896,-243.4626002117728,-113.60217242871259,-347.5160875985463,-122.39021642325818,-248.81689652744652,-250.00798212583103,-0.4003815595471948,-363.3254406105908,-362.7821363589832,-232.59643623699094,-230.15325037637297,-1.0863282114398771,-114.65697034528037,-247.1209586813473,-255.39366468349502,-124.16906999715086,-124.45027323510148
0:00:19.513035,0:00:38.743565,0:00:58.934713,0:01:17.764739,0:01:39.040825,0:01:58.302279,0:02:17.384849,0:02:37.206548,0:02:56.193301,0:03:16.246717,0:03:35.327344,0:03:54.210250,0:04:14.687445,0:04:33.395455,0:04:53.522240,0:05:12.538896,0:05:31.930654,0:05:51.967737,0:06:10.956383,0:06:31.152053,0:06:51.920430,0:07:11.067785,0:07:30.470746,0:07:49.450517,0:08:10.006361,0:08:29.266002,0:08:48.541646,0:09:07.997784,0:09:28.405098,0:09:48.569825,0:10:07.460005,0:10:27.420768,0:10:46.487000,0:11:05.545821,0:11:25.607697,0:11:44.558204,0:12:04.558074,0:12:24.677206,0:12:44.292260,0:13:03.585961,0:13:22.779354,0:13:43.221271,0:14:02.045771,0:14:21.941427,0:14:41.107824,0:15:01.694145,0:15:21.436592,0:15:40.415774,0:16:00.390612,0:16:19.484753
-1837.5063456749856,-1204.8355081464654,-1595.255804093791,-1614.5694129097915,-1785.0061420903003,-1618.4429749912179,-1457.795484905375,-1352.7357960325096,-1517.8832856265979,-1456.3302676594612,-1389.8184220109351,-1099.8435119786218,-394.94772433982246,-525.0595888181401,-128.99541976368153,-507.13956730297326,-124.05601288790433,-123.19083676688557,-269.1347795192587,-1.4568976489255172,-238.9376812287775,-120.5178869073612,-244.30946130114194,-350.6707807401642,-115.83805871299492,-246.70123795172697,-124.3310302422694,-270.68389236971046,-235.2232333377245,-121.4022409331513,-130.4002007593358,-246.68342707464532,-246.76697021062907,-126.32126615518743,-127.60475926802042,-124.80175308380687,-123.6472220009995,-246.55135671498607,-2.6476005828507168,-127.37485002674771,-117.42276963799011,-125.10467247708452,-121.49132579626676,-123.42480807420142,-120.37094870487401,-117.10882075868078,-245.63890503636117,-116.8363364686284,-123.25065014803954,-126.68014552175566
0:00:19.651302,0:00:39.183544,0:00:57.995778,0:01:19.027403,0:01:38.596131,0:01:58.725991,0:02:17.768787,0:02:36.756573,0:02:56.569082,0:03:15.558177,0:03:35.656838,0:03:54.837823,0:04:15.945944,0:04:35.192913,0:04:54.102033,0:05:14.030008,0:05:32.704014,0:05:52.200688,0:06:11.913397,0:06:30.733460,0:06:51.933322,0:07:11.658548,0:07:32.007151,0:07:51.111055,0:08:10.757425,0:08:30.433629,0:08:49.440617,0:09:09.594781,0:09:28.417668,0:09:49.421440,0:10:08.602328,0:10:27.355581,0:10:47.243582,0:11:06.295433,0:11:26.390822,0:11:45.714241,0:12:05.066579,0:12:24.769394,0:12:45.090579,0:13:05.487029,0:13:24.550035,0:13:44.436607,0:14:03.378046,0:14:22.275402,0:14:42.461531,0:15:01.529721,0:15:22.901181,0:15:41.618044,0:16:01.394165,0:16:20.825382
-953.8042604970378,-1053.7713880960348,-1581.183537286595,-1689.3797802241581,-1633.6962676035726,-1723.7459700446877,-1748.6861963122562,-1465.0300954831512,-1519.4121346752506,-1353.163089538919,-770.0690936518909,-670.5643321587272,-437.82575043139445,-1224.4602497981705,-1056.8777881712008,-121.6571120121231,-131.43509589302775,-780.4513434399513,-132.75238796461255,-244.1879169035121,-236.84855773693104,-369.9586039394577,-114.2210654479047,-244.60982807692014,-329.3772463188861,-241.08904165885934,-247.4055479980834,-0.6622971391969389,-127.50869491552194,-247.307941415488,-235.17592250540838,-119.27879226920136,-120.60445562806534,-118.99524184050068,-129.67748136748884,-128.29472133127783,-232.0322270849445,-239.24871037097583,-121.46547971143512,-348.20926895122744,-245.0313552496062,-243.12592550911427,-329.1572599095031,-2.3011567982256,-130.20925649448802,-124.88412442923605,-121.67102390976373,-239.28104160853954,-234.3758160312887,-115.83988877937604
0:00:19.154479,0:00:39.349432,0:00:58.645954,0:01:18.877072,0:01:37.767388,0:01:58.067619,0:02:18.000889,0:02:37.302374,0:02:57.410672,0:03:16.428630,0:03:35.990721,0:03:55.461735,0:04:14.437276,0:04:35.928171,0:04:55.136404,0:05:14.141427,0:05:34.272930,0:05:53.209533,0:06:13.487421,0:06:32.255520,0:06:52.529781,0:07:11.937532,0:07:32.163852,0:07:52.268853,0:08:11.102635,0:08:31.090416,0:08:50.621963,0:09:09.768280,0:09:30.104410,0:09:48.957259,0:10:08.915135,0:10:29.350650,0:10:49.512070,0:11:09.027123,0:11:28.010351,0:11:48.278153,0:12:07.338580,0:12:27.871523,0:12:46.975463,0:13:07.955280,0:13:27.408243,0:13:46.286288,0:14:06.472340,0:14:25.388890,0:14:45.603248,0:15:04.863929,0:15:24.160617,0:15:43.978576,0:16:04.003874,0:16:24.015759
