0:00:32.191782,0:00:53.959792,0:01:14.698911,0:01:36.350785,0:01:58.632901,0:02:19.476425,0:02:41.015884,0:03:01.805356,0:03:25.182748,0:03:45.804772,0:04:07.692990,0:04:28.492818,0:04:50.478128,0:05:12.005862,0:05:33.267153,0:05:56.022105,0:06:16.744556,0:06:38.429960,0:06:59.169957,0:07:20.795165,0:07:41.663561,0:08:02.883967,0:08:24.412160,0:08:46.226121,0:09:08.152273,0:09:29.058532,0:09:51.037615,0:10:12.336114,0:10:33.976893,0:10:57.096906,0:11:20.940390,0:11:45.561483,0:12:09.925578,0:12:34.357237,0:12:58.747840,0:13:23.061623,0:13:47.338210,0:14:12.002233,0:14:36.341376,0:15:00.502149,0:15:23.610324,0:15:47.646785,0:16:11.826857,0:16:35.114249,0:17:00.298455,0:17:24.528562,0:17:48.347073,0:18:11.382634,0:18:35.414431,0:18:59.651756
-1349.3252202846495,-1324.9626119001214,-1320.3597683869798,-1179.8183496502747,-1248.7735707964316,-1519.5715897622667,-1540.7116292338558,-1501.7347126623035,-1514.6807645504866,-1357.583835793778,-865.7454993900765,-1552.0183960506097,-1079.5212174910066,-1526.3544259081066,-1289.2647270571895,-1223.0856457432515,-262.1846793057061,-130.66617559973736,-381.2105329228017,-249.92982276878294,-126.23618912814327,-122.80568026871728,-263.57289246617995,-112.93998427509973,-246.24947822075902,-125.68006668009296,-126.94036769345938,-128.2769337504415,-118.47037220073882,-229.27526531387215,-120.33980850733892,-233.29787118842407,-234.50506969289074,-234.47042772642803,-0.9921330370470366,-124.4555929246519,-238.17862833922752,-244.00171514737158,-245.74228108058188,-114.8054582551222,-124.52900768319122,-118.50815676540215,-232.30820535286102,-127.47850812435486,-122.27387568230506,-123.11122845599412,-115.01510204858803,-238.44508306429785,-351.42902607071596,-231.0909031728866
0:00:23.163575,0:00:48.990556,0:01:13.460022,0:01:36.789683,0:02:01.399229,0:02:26.062782,0:02:50.266074,0:03:15.087222,0:03:39.900477,0:04:04.674870,0:04:28.955846,0:04:53.179192,0:05:18.152829,0:05:42.978733,0:06:08.764188,0:06:32.721883,0:06:57.474596,0:07:22.355130,0:07:46.711592,0:08:10.955343,0:08:35.726919,0:09:01.676830,0:09:26.076757,0:09:49.884234,0:10:14.472435,0:10:39.142787,0:11:02.778335,0:11:27.144451,0:11:50.527299,0:12:13.827537,0:12:38.082378,0:13:02.523328,0:13:26.904289,0:13:50.094845,0:14:14.483783,0:14:40.004431,0:15:04.157784,0:15:28.225978,0:15:53.146470,0:16:17.907378,0:16:41.974441,0:17:06.389738,0:17:32.497797,0:17:57.325802,0:18:21.470971,0:18:46.016096,0:19:10.901822,0:19:35.787354,0:19:59.656401,0:20:25.770177
-1387.3307156884011,-1652.6173588947645,-896.7644270983777,-1382.9075097583611,-1522.1620032210674,-852.7281495988908,-1465.878299252353,-1083.6042422908267,-1300.9673431660553,-1497.4445460711397,-1001.5856053545791,-888.2675684055241,-921.6391868777323,-465.077877002199,-407.6987224845337,-127.9895101504248,-372.06743713438027,-126.48306178010985,-131.29944861930278,-399.55726057816986,-379.724615890665,-492.0512367490379,-118.6885836374935,-4.081726087201791,-132.36433146580333,-241.57383946954442,-120.65263469073082,-238.61172151351767,-131.7082181159753,-238.33464386545387,-1.923572312746853,-128.16237782845357,-121.64603590134725,-126.36866326382345,-121.70054878223874,-172.01989157684932,-241.2873749350285,-115.07354338307913,-0.9163049245777112,-123.08992115166704,-124.88142827262135,-125.05317063955356,-120.31214197428629,-114.25782976810935,-245.35209977711207,-128.8140415796076,-123.3212017232742,-124.16929857837786,-1.6878112071709874,-129.49888612368724
0:00:25.102169,0:00:49.357575,0:01:13.800007,0:01:38.764843,0:02:03.721531,0:02:27.863924,0:02:54.347156,0:03:19.265073,0:03:43.734844,0:04:07.568509,0:04:32.527808,0:04:57.452064,0:05:22.851899,0:05:47.938000,0:06:12.931376,0:06:37.824537,0:07:02.078276,0:07:26.871954,0:07:51.898706,0:08:17.908739,0:08:42.514822,0:09:07.272910,0:09:32.228121,0:09:57.138298,0:10:20.823566,0:10:45.626902,0:11:10.922702,0:11:34.616241,0:11:58.355712,0:12:23.239725,0:12:48.088581,0:13:12.549542,0:13:36.527506,0:14:01.275661,0:14:27.806731,0:14:51.642506,0:15:16.368468,0:15:41.291734,0:16:06.168865,0:16:29.920186,0:16:54.919104,0:17:20.584244,0:17:44.924883,0:18:08.242296,0:18:32.651843,0:18:57.016876,0:19:20.532838,0:19:45.106076,0:20:11.506131,0:20:36.123378
-1463.2054543404645,-1663.9884875923085,-1199.861242880383,-1514.2997100393666,-1516.6800162000393,-838.0541249765163,-1482.157664994107,-1340.4614067056523,-1361.0763618173721,-1142.3926426163634,-790.5061362761833,-922.0489906100373,-1384.5438977754077,-1363.8031293781833,-134.23659878713613,-132.56270811320326,-257.4076560357376,-130.6082910730653,-260.27099990323916,-1.4080626669336458,-247.03649277046262,-255.365760142847,-130.23197705077203,-131.38498314925894,-136.81319313210545,-145.15568567495893,-135.18509796104598,-247.30393875922852,-239.7109458135964,-117.21411411318091,-237.5145722501313,-241.26298377631971,-129.92568878545677,-129.94609464769758,-4.866247001125064,-243.07161337415465,-120.70173086571864,-241.46082832443318,-354.5081966466228,-376.19185708327626,-449.46146712284184,-128.67917164190152,-350.6207690903815,-122.75161324394323,-133.14855473924786,-125.94521625175695,-127.08077613335277,-123.03952939782111,-242.71526447106135,-127.8784316274803
