0:00:18.703535,0:00:37.147136,0:00:54.438311,0:01:11.773326,0:01:31.736710,0:01:49.420583,0:02:06.754735,0:02:24.056098,0:02:42.475719,0:03:01.366570,0:03:20.535800,0:03:38.234484,0:03:56.095846,0:04:13.406593,0:04:32.620299,0:04:50.723450,0:05:07.894967,0:05:25.100256,0:05:42.890896,0:06:02.491358,0:06:21.283699,0:06:38.716689,0:06:56.948687,0:07:14.197480,0:07:33.116441,0:07:51.407133,0:08:08.490195,0:08:25.623742,0:08:42.809958,0:09:02.782835,0:09:21.189512,0:09:38.473451,0:09:56.652205,0:10:14.089078,0:10:33.222021,0:10:51.585299,0:11:08.783379,0:11:26.004347,0:11:43.392455,0:12:03.320530,0:12:20.447326,0:12:38.975689,0:12:57.411483,0:13:14.647946,0:13:33.560149,0:13:51.658222,0:14:09.170706,0:14:26.444591,0:14:43.562553,0:15:03.440388
-1488.9981735211436,-1673.988782860275,-1661.5007403273214,-1274.1981259751556,-1108.5337054012366,-1513.2202743036719,-1537.9617356838614,-1553.458696462978,-1195.4712994307974,-1280.158370535619,-1511.5993452022194,-1575.360311773558,-1264.8650162834979,-1513.895699108928,-253.1355291871508,-2.4214756898193315,-6.566546011295456,-6.384352975036993,-275.78950783608576,-561.9115520570848,-404.9324985466291,-499.2615144118306,-247.34778868846314,-128.99532979682786,-255.2125106778049,-2.184507636137621,-245.04609709505223,-118.35403405911364,-129.35743341371125,-261.91070324437777,-120.49454828057772,-118.87646581290868,-122.5310442097798,-117.7887825682279,-4.069694719551314,-128.33347013737088,-242.48524303611163,-7.308960436496791,-133.74643435031297,-131.2947667043251,-121.8589910731284,-240.08131997276877,-3.6712682142388,-246.45814088197864,-479.44110050005924,-364.2067999605997,-344.4395321304019,-131.1780263043573,-133.3089662213995,-136.14867490602452
0:00:17.263801,0:00:35.691888,0:00:53.986661,0:01:11.080165,0:01:29.983773,0:01:47.941733,0:02:05.321947,0:02:22.438603,0:02:39.496634,0:02:59.524095,0:03:16.598742,0:03:33.683342,0:03:52.469005,0:04:10.402385,0:04:29.466223,0:04:46.623108,0:05:04.825318,0:05:21.952404,0:05:38.961923,0:05:58.447405,0:06:15.955829,0:06:33.086610,0:06:50.360390,0:07:09.348564,0:07:28.659602,0:07:45.787447,0:08:03.042019,0:08:21.147478,0:08:38.341967,0:08:57.207700,0:09:15.390352,0:09:32.739409,0:09:49.973858,0:10:08.631974,0:10:28.204545,0:10:45.407327,0:11:02.589273,0:11:20.895396,0:11:38.044793,0:11:56.925795,0:12:14.903421,0:12:32.423250,0:12:49.626433,0:13:06.773371,0:13:27.991545,0:13:45.314110,0:14:02.716751,0:14:21.205935,0:14:38.638958,0:14:57.863382
-1575.2888885684904,-1505.5942291633462,-1539.8898610869694,-1585.9219753207517,-1804.6371445762284,-1579.9054769171244,-1618.9032007939104,-1584.6708195460837,-1248.1112944298038,-1570.617958427764,-1105.0332779393805,-1413.554769111845,-1619.6452947513837,-1467.4214948853528,-1626.9427422177978,-1145.1250361770003,-1414.531968089607,-1449.8550818091362,-1427.904797305835,-1474.2557904053033,-1521.6339177009493,-1341.3545253743137,-523.9620521742235,-567.6270267287048,-927.0922388380407,-276.06077291539987,-509.1194332551359,-272.43985768790543,-390.69745735689804,-146.8086104244132,-268.6036409699589,-131.6679849470265,-130.81004686678088,-238.51143187340756,-264.0311172967388,-138.2707260699362,-242.75673665438987,-122.70916047133692,-5.104858268934484,-362.10274909858555,-131.55754000727347,-376.4079300960054,-128.81705552027876,-126.9800695261879,-125.27308050974204,-238.4133461652525,-280.69163745710574,-131.25116847803605,-1047.4771587099362,-133.83839124521774
0:00:18.530902,0:00:35.802448,0:00:53.056299,0:01:10.821896,0:01:31.191456,0:01:50.174177,0:02:08.811937,0:02:26.136126,0:02:43.387060,0:03:03.285689,0:03:20.861113,0:03:38.095883,0:03:55.299084,0:04:13.689426,0:04:32.594914,0:04:49.861908,0:05:09.421139,0:05:27.399954,0:05:44.976480,0:06:05.072066,0:06:23.308569,0:06:40.727057,0:06:58.127794,0:07:16.534335,0:07:35.502660,0:07:52.630514,0:08:10.897377,0:08:29.846099,0:08:46.996625,0:09:05.885325,0:09:24.165130,0:09:41.311531,0:09:58.475569,0:10:15.907822,0:10:35.755565,0:10:52.901439,0:11:10.345353,0:11:29.669483,0:11:47.886019,0:12:07.013386,0:12:25.316976,0:12:42.616412,0:12:59.914332,0:13:17.754087,0:13:37.286980,0:13:54.998395,0:14:13.090063,0:14:31.081565,0:14:48.522546,0:15:09.325425
-1545.370571272451,-994.1087385767747,-1603.8291045967076,-1353.220041452544,-1415.1307275628837,-1756.6271914543245,-1668.5081514737817,-1505.884977829813,-1509.365180744834,-1476.5818418694807,-1456.1096209122702,-1519.2684936555663,-1110.7059820310815,-1500.3869596227169,-1099.0524103177368,-870.9815863231663,-783.4987432781262,-855.1296697527304,-744.6719882773921,-764.0703877361914,-1491.6968464839767,-880.4228847486044,-818.3353005749486,-623.1639647061187,-1047.4167446367023,-487.93612031960237,-2.2761292856421846,-369.0293885202493,-250.7631884412846,-125.67579878406107,-257.99588846983534,-248.1516262472461,-244.44503287811807,-126.26189746106883,-251.86162189160888,-241.34651370553254,-126.92241879114023,-1094.7906512289146,-914.0375472845917,-239.07296238726573,-122.41794735683837,-128.5596541870904,-348.445752011378,-128.07574592893772,-121.77721052937245,-374.90579271973604,-4.083103054274624,-247.8347470203578,-122.94460698228019,-121.01222489281186
0:00:17.667504,0:00:34.871588,0:00:52.008508,0:01:10.077704,0:01:29.079694,0:01:46.222130,0:02:04.108451,0:02:22.232827,0:02:39.647555,0:02:59.123192,0:03:18.066966,0:03:35.273665,0:03:52.523912,0:04:10.750591,0:04:29.669240,0:04:46.712730,0:05:04.679600,0:05:22.058633,0:05:39.185044,0:05:58.366541,0:06:16.866128,0:06:35.862963,0:06:53.309284,0:07:12.034652,0:07:31.075233,0:07:48.278409,0:08:06.289659,0:08:23.745418,0:08:40.919917,0:09:00.311904,0:09:18.026082,0:09:35.150131,0:09:53.391243,0:10:11.577317,0:10:30.647157,0:10:47.914032,0:11:05.963094,0:11:23.461637,0:11:40.544322,0:11:59.598732,0:12:17.564531,0:12:34.696883,0:12:51.836024,0:13:09.308322,0:13:30.068979,0:13:47.113546,0:14:04.123504,0:14:22.098714,0:14:39.319597,0:14:58.033473
-1408.8617844546166,-861.0331409717401,-1625.1142218163463,-1061.0584937724952,-1659.2686871799147,-1520.9153992660315,-1618.1774540076112,-1556.3112885939333,-1514.5813648155984,-1496.3109001585867,-845.4315578493561,-1510.9865626664593,-906.5137815617544,-1017.0750518036799,-1513.908043332232,-920.902064032939,-793.0406149909968,-475.05007168069426,-614.3143302360318,-134.33178471928676,-249.2796690386693,-116.4725661858469,-123.90482709488562,-1.6520890771981758,-1.5753068938723422,-255.19790230198765,-241.36180410740772,-238.53753641829945,-129.25129239626108,-126.06483670761855,-121.99172561985749,-224.03469904124321,-231.81491374424718,-284.55317621704717,-0.3001124915087229,-360.1186915730683,-124.10533578319688,-229.86761025866963,-127.08801478458601,-128.65705430758692,-119.11635384366534,-231.26535026970134,-344.1179841010288,-2.7422260245895913,-251.37438616422284,-119.24611404271654,-122.8181929679089,-120.2429754975746,-127.94337161157608,-381.72468696791077
0:00:17.664421,0:00:35.325991,0:00:52.445800,0:01:09.463400,0:01:29.456703,0:01:47.685103,0:02:04.801688,0:02:22.275401,0:02:39.950028,0:02:58.715452,0:03:15.940309,0:03:34.158312,0:03:51.209216,0:04:08.196347,0:04:27.588077,0:04:44.906736,0:05:03.095535,0:05:20.074727,0:05:38.201645,0:05:57.039338,0:06:13.996360,0:06:31.488500,0:06:49.029298,0:07:05.975082,0:07:24.627314,0:07:42.695524,0:07:59.748907,0:08:16.730066,0:08:35.512731,0:08:55.375178,0:09:12.281474,0:09:29.276575,0:09:46.410123,0:10:04.365904,0:10:23.164382,0:10:40.355227,0:10:58.569346,0:11:15.783624,0:11:32.896488,0:11:54.167097,0:12:11.344849,0:12:28.605983,0:12:45.807622,0:13:03.922240,0:13:22.694806,0:13:39.636471,0:13:57.406511,0:14:14.944327,0:14:32.157943,0:14:51.113710
-1404.1522563693097,-1328.85201163665,-1539.9637018150418,-1440.1037710937928,-1134.5635032265127,-992.4153261302396,-1391.349128728813,-1190.86700866022,-1388.9758930562905,-1448.330391701677,-1285.9833407327935,-874.6078438581303,-1162.6680430341273,-1017.7678811070881,-761.1498143200545,-761.701164145815,-262.2695597452926,-387.532217351875,-241.14291530056036,-246.15060211706486,-127.82874149027134,-6.991033926280492,-121.16071426424273,-354.5574387970512,-247.06569056820456,-120.39233247162794,-130.61020031885255,-131.22663343487318,-291.35271283889375,-236.4923304486066,-1.6646134166063573,-248.26386628385882,-293.68517826864866,-253.10009484034077,-127.23919213233042,-253.13537249418962,-129.00858476651047,-262.2489468455019,-377.09996883988066,-247.32620743202563,-529.0666005054768,-507.508781882334,-252.8355673714782,-128.89991870824628,-8.074854781428632,-247.0195582283675,-134.00789672450375,-15.52823504537085,-272.24717787687143,-137.87907235421378
0:00:19.351369,0:00:36.330020,0:00:53.307521,0:01:10.252885,0:01:30.296996,0:01:47.478598,0:02:04.662467,0:02:22.506420,0:02:39.960774,0:02:58.739948,0:03:15.946977,0:03:34.347523,0:03:52.197029,0:04:09.351125,0:04:29.318533,0:04:46.539760,0:05:03.781950,0:05:21.350603,0:05:39.436446,0:05:58.448904,0:06:15.658419,0:06:34.006401,0:06:51.211977,0:07:09.777788,0:07:29.318839,0:07:46.867615,0:08:04.050721,0:08:21.148982,0:08:39.224020,0:08:58.267738,0:09:15.335785,0:09:33.018760,0:09:50.810611,0:10:07.985658,0:10:28.508385,0:10:46.353234,0:11:03.520765,0:11:20.669904,0:11:38.607821,0:11:57.873794,0:12:15.061430,0:12:32.670333,0:12:50.666968,0:13:07.829169,0:13:26.669850,0:13:45.554055,0:14:03.449339,0:14:20.479577,0:14:37.525764,0:14:57.490946
