0:00:14.677313,0:00:29.005302,0:00:43.400584,0:00:57.709349,0:01:12.050962,0:01:26.792338,0:01:41.680216,0:01:55.996743,0:02:10.293793,0:02:24.715020,0:02:39.179259,0:02:53.600530,0:03:08.983674,0:03:23.251498,0:03:37.650423,0:03:52.213026,0:04:06.860968,0:04:21.443441,0:04:36.433457,0:04:51.161757,0:05:05.731576,0:05:20.363427,0:05:35.039187,0:05:49.593613,0:06:04.771726,0:06:19.938197,0:06:34.743238,0:06:49.401199,0:07:03.945180,0:07:18.653706,0:07:33.534171,0:07:48.030025,0:08:02.613383,0:08:17.244415,0:08:31.843337,0:08:46.497421,0:09:01.497410,0:09:17.198303,0:09:31.968943,0:09:46.913604,0:10:01.609866,0:10:16.391655,0:10:31.625357,0:10:46.521696,0:11:01.082822,0:11:15.766147,0:11:30.639675,0:11:46.074156,0:12:00.686933,0:12:15.269822
-1187.1270521360443,-1338.9461745771428,-1651.71680475631,-1508.0560913212776,-1607.0939552485327,-1443.3836531795528,-1441.2447918195567,-1394.7991958200626,-1044.2978789044105,-1215.632483460306,-1223.346581319692,-909.0224365967925,-915.0700291677058,-721.6832429868604,-764.3220513841497,-765.5919012513716,-623.4503368850507,-388.80567392376287,-134.26710671562873,-129.94162502513714,-132.38532707486286,-125.30475523899469,-253.5941119295681,-253.17249995409205,-525.6661706604781,-258.8148847270517,-0.8950319536694888,-250.7109079849105,-238.85346155338615,-126.32626068769062,-127.43703554340664,-385.1490775691083,-332.82415633914985,-238.4586400380941,-128.7058624452504,-255.0507781515883,-252.4857330794818,-0.22400034624594523,-120.01547138910156,-119.03761532053113,-125.90523208501361,-124.83977826216994,-334.47286424169704,-252.01745279872844,-3.0487456981595447,-224.85089261145623,-363.05050407939433,-122.06269620840378,-251.91346926383136,-389.76625118414245
0:00:15.132456,0:00:29.551464,0:00:44.183507,0:00:58.936662,0:01:13.362557,0:01:27.723707,0:01:42.059176,0:01:56.537557,0:02:11.025933,0:02:25.956259,0:02:40.570891,0:02:55.154300,0:03:09.732658,0:03:24.786198,0:03:39.370606,0:03:54.327746,0:04:08.973713,0:04:23.770275,0:04:38.373246,0:04:52.909258,0:05:07.334436,0:05:22.412686,0:05:36.870169,0:05:51.269505,0:06:05.982782,0:06:20.615283,0:06:35.901141,0:06:50.615374,0:07:05.303504,0:07:20.224385,0:07:35.063319,0:07:49.635450,0:08:04.072203,0:08:19.403365,0:08:33.943693,0:08:48.369567,0:09:02.959908,0:09:17.727868,0:09:32.620771,0:09:48.497651,0:10:03.336867,0:10:18.080181,0:10:32.754611,0:10:47.333873,0:11:02.079692,0:11:17.318943,0:11:31.861487,0:11:46.404061,0:12:01.122689,0:12:15.730647
-1357.876814582518,-1189.8983600107824,-1735.1839612024226,-1567.19533309898,-1585.1783067277981,-1343.0549245428876,-1467.9328893172155,-1258.8531646914591,-1203.814540024353,-941.1892340640379,-929.5956499455904,-1175.584628646494,-1046.5270157668606,-520.8782741229081,-650.6125613256775,-694.0690349863856,-528.7643159477359,-16.680600113989126,-10.432850872663224,-253.30525533610603,-269.56504140306384,-126.51455559036734,-129.71460016092425,-249.67184727673953,-121.42289220389023,-115.21788787124626,-231.91556995384863,-1.3683016608899852,-123.2011324457457,-247.00015528567621,-130.50507024413633,-130.02791890357392,-259.4205680496501,-124.6955055536143,-120.94199827482811,-232.94129046480313,-126.24282478274984,-120.80702144572315,-256.5772267739832,-124.00487283243251,-384.2461337708274,-127.84285721495034,-276.6798225576957,-130.28733520938212,-241.70458550225868,-251.96586369719552,-129.84141732351162,-132.5139137082772,-263.2685842550791,-128.31771741410876
0:00:14.943687,0:00:29.831965,0:00:44.804098,0:00:59.171782,0:01:13.528411,0:01:27.925681,0:01:42.340157,0:01:57.052780,0:02:11.541736,0:02:25.676130,0:02:39.973961,0:02:54.517212,0:03:08.866908,0:03:23.468805,0:03:38.060701,0:03:53.010150,0:04:07.431922,0:04:21.845642,0:04:36.094677,0:04:50.443884,0:05:05.233482,0:05:19.666073,0:05:34.089594,0:05:48.476384,0:06:02.756023,0:06:17.015813,0:06:31.380094,0:06:46.038870,0:07:00.588889,0:07:15.105243,0:07:29.408333,0:07:43.669807,0:07:58.125238,0:08:12.752353,0:08:27.608144,0:08:41.975158,0:08:56.223088,0:09:10.417275,0:09:24.693135,0:09:39.042622,0:09:53.570563,0:10:08.143949,0:10:23.555866,0:10:38.069771,0:10:52.553259,0:11:06.998378,0:11:21.405316,0:11:36.259404,0:11:50.933760,0:12:05.536131
-1744.4252080162014,-1210.431462809333,-1246.1559841544608,-1429.9252096764933,-1358.1572398397104,-1347.727277761408,-1693.7942957851053,-1611.1489383700625,-1525.7208950562588,-1009.5585264600143,-1004.7733819208789,-782.741006556401,-944.0197382369162,-755.8492834071894,-137.5012334917189,-266.22211987321606,-132.31883420663064,-128.99777243548877,-268.8039458754383,-272.05227471263805,-126.52506028957474,-135.41190091801496,-2.1218569839853294,-260.1119837639748,-246.658479326836,-128.1024260818033,-274.3684013781715,-127.79019949431179,-385.24864695271884,-0.6609455647722586,-368.1350396615573,-0.5569892455190596,-129.7857550073005,-242.15430049484124,-125.21581109562435,-123.01823918937248,-0.2707137778065749,-126.76138296841756,-243.89071251473868,-121.3872190093368,-309.2371882864723,-348.67954873595755,-240.36368830378086,-130.2423173998953,-251.34243713540062,-236.24916687724527,-5.595441564173249,-235.00179131431588,-128.8588078512471,-118.33240254427022
0:00:14.530275,0:00:29.046336,0:00:43.457530,0:00:58.126888,0:01:12.631038,0:01:26.859538,0:01:41.611927,0:01:55.883840,0:02:10.153941,0:02:24.516681,0:02:39.344331,0:02:53.747801,0:03:08.063332,0:03:22.320819,0:03:36.595264,0:03:50.901807,0:04:05.242449,0:04:19.874090,0:04:34.119576,0:04:48.754917,0:05:03.706204,0:05:18.366071,0:05:32.830129,0:05:47.729247,0:06:02.220303,0:06:16.760200,0:06:31.228498,0:06:45.554938,0:06:59.961480,0:07:14.883356,0:07:29.435971,0:07:43.835906,0:07:58.322613,0:08:13.416908,0:08:27.948575,0:08:42.864600,0:08:57.905109,0:09:12.829804,0:09:27.433933,0:09:42.009769,0:09:56.606194,0:10:11.669517,0:10:26.410545,0:10:40.859601,0:10:55.539912,0:11:09.910662,0:11:24.375455,0:11:39.798708,0:11:54.552130,0:12:09.209917
-1332.67313404743,-1778.735350098275,-1519.270344825297,-1565.7431548174316,-1157.871130078058,-1529.6699922827013,-1089.6718351771083,-1456.8706573129634,-1520.1903138819505,-1359.7274363650301,-1373.6174932381869,-1320.0959938735386,-1157.2455291744145,-1501.0066632767027,-1006.6377333444967,-968.8519015093432,-1048.6544864764346,-1120.5572255316647,-1201.7186554933357,-979.3816286515287,-1594.059528562836,-1088.060982059229,-1096.8475191550276,-256.9165660131564,-253.98606618300118,-135.5037397005009,-378.66197972148564,-2.2778052042620995,-128.25411806474443,-242.00093689310296,-0.9875014361427167,-127.59848559218734,-1.5771374688220694,-129.80923409075268,-137.00738169045937,-359.80556761509723,-128.58994177596398,-125.87098004654881,-118.96189725099397,-138.96356930905455,-235.91990773703176,-120.78946632571804,-0.3782611058741199,-118.69530727161647,-123.2825845601291,-119.7057347373241,-248.53819667859943,-124.74206637626283,-125.85050238729787,-0.5072484029238576
0:00:14.649185,0:00:29.365928,0:00:44.183756,0:00:59.473821,0:01:14.232869,0:01:28.881957,0:01:43.448546,0:01:58.244767,0:02:13.225324,0:02:28.315639,0:02:43.159940,0:02:58.553975,0:03:13.408246,0:03:28.464813,0:03:43.946126,0:03:58.752280,0:04:13.409256,0:04:28.266741,0:04:43.292218,0:04:58.319540,0:05:13.230754,0:05:28.092377,0:05:42.998571,0:05:57.747921,0:06:13.169168,0:06:27.904819,0:06:42.406396,0:06:56.987054,0:07:11.576396,0:07:26.289845,0:07:41.255592,0:07:56.414157,0:08:11.063981,0:08:25.660150,0:08:40.427328,0:08:55.210654,0:09:10.174019,0:09:25.056714,0:09:40.203662,0:09:54.891465,0:10:09.811864,0:10:24.740401,0:10:39.762966,0:10:54.645863,0:11:09.294404,0:11:24.155378,0:11:38.834935,0:11:53.915704,0:12:08.716784,0:12:23.614857
-1578.167958560926,-1417.4480944305915,-1412.5492005736498,-1662.484682350635,-1636.5135203772666,-1491.0374456574332,-1492.0041215356882,-1444.8325419414314,-1376.9639778032192,-1138.1841957899992,-1287.1133833858398,-1065.5544249634995,-528.804480751049,-550.6768138402932,-780.0319401069888,-731.637832735952,-125.66076576139369,-376.49741326519535,-762.6601835121658,-249.06142116209182,-365.0356291631098,-114.45409434494916,-258.99036894080854,-1354.3167289541082,-1530.074279675834,-1270.3235493027826,-232.52386296615316,-1198.2876086449944,-1315.902329731389,-946.7058384210796,-643.9899351205949,-129.13658590154432,-238.48651253499673,-121.40749970931533,-370.05724376963144,-6.974374158362365,-128.83870099927816,-232.1069734175217,-114.39854838381211,-365.1278463132999,-117.89660525789412,-127.94042250402481,-126.94522792810099,-4.76611188015059,-241.03965741993483,-318.2740794630118,-234.45746907308538,-120.8663430032867,-0.6115985035138233,-128.87707359634175
0:00:14.805189,0:00:29.501800,0:00:44.764269,0:00:59.766369,0:01:14.408542,0:01:28.949708,0:01:43.675497,0:01:58.483137,0:02:13.621703,0:02:28.595364,0:02:43.303379,0:02:58.214687,0:03:12.947931,0:03:27.648103,0:03:42.844101,0:03:58.542086,0:04:13.390945,0:04:28.007776,0:04:42.779309,0:04:57.923556,0:05:13.001383,0:05:27.858172,0:05:42.763634,0:05:57.762159,0:06:12.247810,0:06:27.278977,0:06:42.140015,0:06:56.980864,0:07:11.950659,0:07:27.417434,0:07:42.058297,0:07:57.061441,0:08:11.761184,0:08:26.654062,0:08:42.006187,0:08:56.979817,0:09:12.167248,0:09:26.953836,0:09:41.790045,0:09:56.715684,0:10:11.512187,0:10:26.478693,0:10:42.060330,0:10:56.780043,0:11:11.567475,0:11:26.347984,0:11:41.235016,0:11:56.658849,0:12:11.562225,0:12:26.849467
