0:00:19.495169,0:00:38.191805,0:00:58.085505,0:01:17.471412,0:01:39.180905,0:01:57.944079,0:02:17.076510,0:02:36.866108,0:02:55.477431,0:03:17.288662,0:03:36.100072,0:03:54.929089,0:04:14.956294,0:04:33.730939,0:04:55.226812,0:05:13.783364,0:05:32.528671,0:05:52.432895,0:06:10.939902,0:06:32.479911,0:06:51.584170,0:07:10.163026,0:07:29.968697,0:07:48.593189,0:08:09.386343,0:08:28.604216,0:08:47.068772,0:09:06.398948,0:09:25.592843,0:09:46.712066,0:10:06.440793,0:10:25.164027,0:10:44.603430,0:11:05.147247,0:11:32.699837,0:11:53.575088,0:12:14.394806,0:12:33.497366,0:12:53.613333,0:13:14.412327,0:13:33.930870,0:13:53.310029,0:14:12.067734,0:14:31.819386,0:14:52.797940,0:15:12.680553,0:15:31.938782,0:15:50.687686,0:16:10.892116,0:16:31.342660
-1231.9047192493201,-1566.4268979638139,-1506.875484938137,-1423.788043328306,-1487.4970108442933,-1615.0440238264446,-1500.4704796923836,-1521.7679683076524,-1493.7861192584419,-1196.8792557415136,-1262.1211760100246,-803.9857809430482,-787.6688944463443,-446.3566556992014,-378.49984578867674,-633.2060303155383,-637.122663769516,-509.1198387766619,-260.1857095241041,-260.10451676064713,-131.28168710977255,-126.22518987187841,-276.6424879208477,-1364.876567696221,-118.64192729431373,-239.85119085556346,-127.16978974092862,-6.878406999894323,-8.201090035646075,-254.7456829518088,-382.3375984122838,-256.5596459502834,-126.81301425502834,-240.86212408664323,-236.48925999077449,-117.56780950936484,-122.19541779674697,-125.97661850868852,-371.6130742426152,-123.90861924732212,-1.1486094658213355,-216.15625814136683,-126.76126830141736,-127.84621146110376,-126.69752555686681,-237.0773351316942,-0.5015627885417185,-336.9926315718243,-128.62461788624844,-245.17437535057917
0:00:19.452824,0:00:38.708848,0:00:57.627713,0:01:17.829054,0:01:38.519759,0:01:58.273635,0:02:17.566303,0:02:36.484897,0:02:56.415082,0:03:17.030855,0:03:36.328267,0:03:55.652831,0:04:14.339146,0:04:34.269756,0:04:54.936318,0:05:14.574257,0:05:34.118616,0:05:53.033415,0:06:13.035145,0:06:33.502870,0:06:52.754104,0:07:12.456819,0:07:31.336551,0:07:51.390432,0:08:12.050351,0:08:31.686968,0:08:51.277238,0:09:10.615709,0:09:30.805739,0:09:51.416687,0:10:11.442909,0:10:30.616356,0:10:49.730984,0:11:09.951040,0:11:30.895239,0:11:51.030672,0:12:09.917062,0:12:29.311270,0:12:49.148922,0:13:09.926088,0:13:30.158319,0:13:49.140509,0:14:08.817113,0:14:28.384499,0:14:49.688056,0:15:09.507167,0:15:28.683303,0:15:49.183668,0:16:08.289582,0:16:29.718437
-1374.305829876518,-1554.7023070541059,-1494.5525337119914,-1737.0784554507109,-1808.01242929376,-1404.3489553969991,-1494.3687064994385,-1273.7664814536647,-1394.1719339113245,-1134.6370590918546,-637.0121733173818,-525.6469854896579,-925.4687260160307,-946.3878323295188,-392.3606312372818,-144.9539177364194,-140.96166393060224,-403.49950139965824,-147.53777763109068,-131.43643595854712,-125.33022587784278,-251.01847356248734,-133.89490133619466,-131.42606122125977,-258.9413611388618,-115.71722764944819,-127.74554399517388,-246.61582312298367,-247.96846641583372,-126.61015868720428,-128.4188664013121,-119.3128238747807,-116.0847862391106,-249.86400624533897,-115.51913333448871,-339.69364685561817,-123.24569553348894,-245.32384772859984,-220.0815857727384,-117.87493800163391,-5.194667341198981,-128.35167759573685,-119.8660387925743,-126.58614420526402,-130.16159951414235,-502.65705870999415,-124.75819737111364,-770.8992550966079,-644.587678630657,-378.97608351726456
0:00:19.413278,0:00:38.605435,0:00:58.865003,0:01:17.780341,0:01:39.861598,0:01:58.958574,0:02:18.224673,0:02:38.286944,0:02:57.514637,0:03:19.729596,0:03:39.018596,0:03:58.898121,0:04:18.318670,0:04:37.294969,0:04:59.096741,0:05:18.178253,0:05:38.433432,0:05:57.653725,0:06:17.244868,0:06:39.009103,0:06:58.175514,0:07:18.677836,0:07:38.063411,0:07:58.487314,0:08:19.905502,0:08:40.170033,0:08:59.718793,0:09:18.779624,0:09:39.175489,0:10:00.013952,0:10:20.293335,0:10:39.280723,0:10:58.452926,0:11:18.267888,0:11:39.105945,0:11:59.145244,0:12:18.147366,0:12:38.267795,0:12:58.058040,0:13:19.243937,0:13:38.890695,0:13:57.882976,0:14:18.228068,0:14:37.210058,0:14:58.791210,0:15:18.035417,0:15:37.108081,0:15:57.315889,0:16:16.267272,0:16:38.215965
-1400.23001141828,-1066.0032027681063,-1332.5972620924942,-1479.3234636672862,-1192.6784530791185,-1474.2446908216314,-1186.1282372658593,-1396.7548835419368,-1347.5210870902454,-1496.0829933717664,-1052.1123493484374,-951.9459430697921,-129.79006988584246,-1072.9117327376316,-2.731099856193693,-258.67111528886466,-265.45435210662623,-124.69620256253977,-123.5916467406295,-379.6172403095994,-238.25817294175536,-4.172527279499605,-122.74966632705026,-235.65574975975076,-125.77447607426936,-242.60585879718485,-1.8843501128091056,-331.9137859822301,-322.9947152845732,-132.6282199800484,-238.19113429511103,-265.2845463777441,-119.55682507917071,-240.2056420727564,-430.438604442394,-122.6273401979893,-120.32462920179928,-117.00553150914169,-234.908723343683,-231.33602081750055,-232.67340201922656,-238.9996571094771,-115.08648836193974,-397.9032206706294,-245.62750161973028,-1.8582310697811182,-247.00753866516007,-117.34867985521575,-117.20253052184671,-124.23637239878188
0:00:18.937548,0:00:37.827236,0:00:58.005726,0:01:17.120962,0:01:38.962069,0:01:57.774157,0:02:16.967609,0:02:36.859264,0:02:56.110960,0:03:17.900154,0:03:36.645280,0:03:55.845751,0:04:15.411716,0:04:34.429478,0:04:56.306504,0:05:15.141482,0:05:35.007834,0:05:54.429306,0:06:13.468357,0:06:35.643858,0:06:54.784310,0:07:15.754954,0:07:35.233222,0:07:55.729282,0:08:19.095889,0:08:40.237205,0:09:00.391464,0:09:20.889235,0:09:40.379973,0:10:02.680258,0:10:22.577458,0:10:42.240818,0:11:02.054068,0:11:20.983799,0:11:42.962007,0:12:02.009527,0:12:21.234950,0:12:40.921584,0:12:59.937951,0:13:21.847025,0:13:41.410319,0:14:02.580556,0:14:22.070281,0:14:42.076483,0:15:03.789108,0:15:23.447913,0:15:43.270083,0:16:02.218297,0:16:22.331739,0:16:43.076128
-1206.551006053985,-1395.4235121882473,-938.8009513932147,-1046.902430497723,-1185.5499865547172,-1838.7639130356113,-1193.370629000569,-1701.385328044904,-1392.796791004185,-1453.4913551021548,-1100.9889566327734,-932.242909290706,-787.3335176934906,-863.7516839974228,-988.9004331627837,-393.41187754461976,-247.95841498860491,-5.262056105136939,-132.474019907659,-128.4229002917214,-370.6098206777373,-127.36409096027458,-124.66943724320282,-123.42032903203571,-118.43660086866025,-128.89616392101388,-1.4524497142247819,-125.14052088236731,-119.632876926685,-240.53942091223155,-235.8371270652238,-121.75206041290869,-117.82068691854752,-309.5679829894241,-125.33436395378791,-117.71350786231075,-125.09652369491178,-128.54736481050378,-119.48450780940827,-119.95722346750239,-119.67098531091303,-335.7290244343253,-119.5345666051676,-244.62617828504224,-123.97123806926301,-117.85495110472137,-118.58328195956908,-117.47284623021542,-120.14909662464522,-117.3149384302004
0:00:20.045089,0:00:39.669403,0:00:58.999558,0:01:19.386426,0:01:40.640931,0:02:01.363633,0:02:20.985975,0:02:41.158159,0:03:00.532685,0:03:22.120518,0:03:41.721725,0:04:00.705650,0:04:21.167881,0:04:40.087390,0:05:01.780873,0:05:21.004364,0:05:39.936860,0:05:59.905983,0:06:18.843383,0:06:40.529193,0:06:59.370870,0:07:18.379572,0:07:38.524289,0:07:57.239377,0:08:18.932804,0:08:37.971939,0:08:56.903211,0:09:16.831974,0:09:35.729709,0:09:57.618204,0:10:16.416892,0:10:35.064810,0:10:54.866419,0:11:14.068415,0:11:35.876863,0:11:54.558535,0:12:13.526607,0:12:33.381289,0:12:52.648377,0:13:15.237301,0:13:34.485957,0:13:54.150804,0:14:13.320016,0:14:32.328535,0:14:54.517170,0:15:13.590950,0:15:33.804865,0:15:53.021352,0:16:12.620503,0:16:34.299485
-1396.8163034888712,-1344.0985675621148,-1290.766657859841,-1038.1185354461459,-861.8989724142829,-1522.207283661228,-1575.434204716367,-1522.1467643760263,-1501.4793347812204,-1486.287466858854,-1204.404429565396,-1412.253865486988,-1067.6966529276165,-1496.0443773091195,-930.4440636771217,-1010.5711874732297,-1274.3323225617517,-1077.0199042899153,-1350.7396046579768,-1537.1367166089601,-771.5647486893035,-359.01387322401155,-366.55013746910447,-242.25305190117285,-249.17279212038446,-350.5778906630329,-394.2921951298536,-245.5117400726072,-126.93988359698572,-245.71602155804416,-3.341578503037991,-255.72403914208118,-2.3634601645313977,-125.72902650988883,-116.77523587049734,-114.12398129781666,-119.4490994563793,-121.26152053274963,-123.56866291340928,-117.71584041971921,-246.69350649032927,-124.47107319539559,-334.12227942473424,-126.30682440977327,-123.1598999007015,-249.53483049386472,-124.92979718124035,-366.4211835972363,-379.6945374332417,-366.04793566982545
0:00:19.368415,0:00:39.549662,0:00:58.662996,0:01:18.984957,0:01:40.519070,0:02:00.985777,0:02:20.342835,0:02:40.319681,0:03:00.556558,0:03:22.332444,0:03:43.399129,0:04:03.745673,0:04:25.104431,0:04:44.865791,0:05:07.865750,0:05:27.598822,0:05:48.556258,0:06:08.248591,0:06:29.272583,0:06:50.730995,0:07:11.290905,0:07:30.673989,0:07:50.504604,0:08:10.271690,0:08:31.785142,0:08:51.750514,0:09:10.982540,0:09:31.283428,0:09:50.401595,0:10:12.382863,0:10:31.794087,0:10:51.405211,0:11:11.423991,0:11:30.405653,0:11:52.403212,0:12:11.358416,0:12:31.216392,0:12:50.926306,0:13:09.901253,0:13:31.853325,0:13:50.935096,0:14:11.190003,0:14:30.350645,0:14:49.524837,0:15:11.474665,0:15:30.721512,0:15:50.966401,0:16:10.373296,0:16:30.545793,0:16:52.036728
-1153.0720080370254,-1229.9961283609794,-1782.3724427160566,-1574.705581581321,-1612.9660184585432,-1485.9754448900037,-1394.0324438641908,-1498.0532749292192,-1417.60301743226,-777.6440948904607,-780.6646951376663,-552.6302704992178,-1224.1246915078289,-664.1804879437005,-780.4594727128659,-264.2128557564675,-129.5275204784893,-128.56678301117373,-132.14006519554624,-131.21853863455848,-785.0715841406707,-661.8888752503474,-123.58092989965223,-127.24118049144523,-647.68915452423,-245.57510653593053,-2.4830458065181222,-120.6316067927105,-261.22708929047644,-118.85740128193248,-245.54285433730644,-1.8919706645383243,-188.10185796820747,-240.44861264061123,-129.41538735891496,-122.94671737464057,-252.53340137957235,-351.9512892153025,-240.29741863776184,-248.32078517315546,-118.97216594403885,-238.70604018526404,-4.73731051758844,-130.79301937909025,-240.28455267579514,-127.4622228778077,-11.538879445012979,-127.74694404717125,-232.76547241637095,-241.90360160681035
0:00:19.916758,0:00:39.546487,0:00:58.986066,0:01:19.189785,0:01:40.000047,0:02:00.177105,0:02:19.456417,0:02:38.728534,0:02:58.446151,0:03:19.112988,0:03:39.214625,0:03:58.210639,0:04:17.458042,0:04:36.963921,0:04:57.666792,0:05:17.706346,0:05:36.623490,0:05:56.137952,0:06:15.813721,0:06:36.712750,0:06:56.876161,0:07:15.787184,0:07:36.039393,0:07:55.118934,0:08:16.387374,0:08:35.863374,0:08:54.979555,0:09:15.330954,0:09:34.604830,0:09:56.794565,0:10:15.925735,0:10:34.881767,0:10:55.227341,0:11:14.220293,0:11:36.329253,0:11:55.487975,0:12:15.203592,0:12:34.775322,0:12:54.002356,0:13:16.025504,0:13:35.217125,0:13:55.692004,0:14:14.634890,0:14:33.683832,0:14:55.391405,0:15:14.393548,0:15:34.639399,0:15:53.770640,0:16:13.226440,0:16:34.468734
-1362.8769647799097,-1420.3445119416567,-1487.8946845595665,-1516.7302461547338,-1394.218132741611,-1388.8466267646015,-1530.285946481229,-1253.1231871339637,-1501.2021972482744,-1495.2136928110986,-1506.3754865428425,-526.4169193409919,-908.3691567426359,-392.1241939710547,-929.7813281591718,-762.3766004123319,-416.6274108456309,-132.69732340538422,-129.118658911738,-129.08638474841644,-471.11080626768785,-247.5053435821843,-2.513817326168736,-126.56265795360324,-126.23683024803611,-125.82644802122356,-0.8557359759256025,-123.10988872277157,-120.91264335517484,-127.74994349093339,-239.7953735892327,-225.7439212360236,-125.60213487601992,-225.07502867462148,-1.5060975636968854,-2.277515214564477,-114.43569485501617,-119.79277948147059,-3.478691793614939,-127.41076982128587,-119.51491357763862,-130.61755656925843,-122.61576014714086,-126.67305183987098,-355.0491338197089,-244.71097605165576,-4.672636725108962,-325.4021762886585,-250.27585152927136,-121.24525045801079
0:00:19.437296,0:00:39.478354,0:00:58.546232,0:01:18.756532,0:01:39.486349,0:01:59.081995,0:02:18.447392,0:02:37.220787,0:02:57.297677,0:03:17.923795,0:03:37.473962,0:03:56.844195,0:04:15.656304,0:04:35.340011,0:04:56.077790,0:05:15.975729,0:05:35.140724,0:05:54.034567,0:06:13.966679,0:06:34.506796,0:06:54.387038,0:07:13.575789,0:07:32.629918,0:07:52.634528,0:08:13.460673,0:08:33.637119,0:08:52.724805,0:09:12.094255,0:09:31.856774,0:09:52.590245,0:10:12.857955,0:10:31.958504,0:10:51.781068,0:11:11.910691,0:11:33.321327,0:11:52.973132,0:12:11.980564,0:12:32.297510,0:12:51.253994,0:13:12.868819,0:13:32.108453,0:13:51.045003,0:14:11.237102,0:14:30.150548,0:14:51.765256,0:15:10.755315,0:15:29.500182,0:15:49.483573,0:16:08.191885,0:16:29.614927
-1176.0852050301648,-1632.7820349637734,-1358.6113432741918,-1228.4249498939291,-1641.7607048460804,-1551.7351306401608,-1383.1152423604162,-1257.5005092048657,-1502.230260307769,-1288.346215544811,-922.1122631380889,-877.7288231769005,-872.062901064495,-746.254236690738,-848.4303270317173,-268.0652456532016,-142.18258851114192,-528.1771441857313,-275.5769877781803,-11.71810795320401,-377.6983242274761,-126.94447024117704,-244.29088858301617,-124.93681882323591,-305.9363153118931,-242.81054928453023,-129.0700673496431,-128.52364115220698,-125.8951975145209,-256.24159550811123,-310.6576216964544,-247.64789089746787,-239.5248013301556,-120.70597198846446,-124.4965194361423,-119.17349962193217,-504.724225816266,-134.08075142856305,-129.44844575093853,-120.23882221340972,-359.30363096854,-241.49931412978856,-2.736000953186595,-130.90716861855367,-232.19038128598743,-254.33979656038395,-122.90150979661598,-379.35410824338106,-128.1322893728772,-121.75413256263361
0:00:18.960917,0:00:37.740629,0:00:57.648592,0:01:16.154994,0:01:37.201148,0:01:56.333141,0:02:14.937888,0:02:34.820537,0:02:53.678057,0:03:14.604190,0:03:33.894755,0:03:52.567849,0:04:12.192330,0:04:31.174583,0:04:51.976514,0:05:11.462645,0:05:30.212215,0:05:49.633767,0:06:08.862700,0:06:29.629232,0:06:49.674306,0:07:08.821005,0:07:29.094400,0:07:48.321675,0:08:09.538567,0:08:29.106485,0:08:47.755674,0:09:07.530745,0:09:26.325573,0:09:47.453346,0:10:06.767954,0:10:25.357458,0:10:45.369650,0:11:04.095809,0:11:24.983433,0:11:44.417003,0:12:03.037590,0:12:22.564496,0:12:41.685922,0:13:02.315376,0:13:21.938593,0:13:40.651134,0:13:59.958703,0:14:19.298485,0:14:39.763735,0:14:59.659720,0:15:18.267548,0:15:37.325644,0:15:57.201035,0:16:17.980824
-1789.826778492698,-1414.8550887001927,-1655.533131446332,-1504.3529418715161,-1430.9279738253356,-1391.6040879890008,-1550.6018553397207,-1498.1078524357706,-1377.3689726170687,-1423.2973961363284,-986.6604975200971,-1308.0222534643663,-1500.6574636382952,-1019.9432420001657,-1158.9533367106983,-503.5328946467553,-519.8810123097221,-1509.0880837667314,-139.16807388651375,-663.8838145573113,-754.0710695303965,-128.1958714389161,-1.131885669163921,-125.1626116491827,-2.1372932948595995,-392.7945342055908,-125.84736121969158,-118.46747422150622,-126.66829177164307,-126.49091281119912,-124.71805443910289,-119.21140552869741,-248.72689833719403,-365.1466228936176,-248.23960655258767,-120.76045753635064,-1.4339980779993562,-128.10186316060035,-2.876794787162444,-535.2398455606332,-330.58614225226114,-348.52747299806236,-367.62969406040884,-239.97070623917665,-247.5784901764355,-114.99462464033769,-118.79814869173603,-252.35167387249322,-251.07810010108747,-2.452516147022794
